region,number_bedrooms,number_bathrooms,asking_price,lat,lon
1,2,1,600.00,5.6364025,-0.1670703
1,3,2,1000.00,5.7195028,-0.1951566
1,1,0,300.00,5.56,-0.24
5,1,0,50.00,6.6904067,-1.7561949
1,2,0,300.00,5.6364025,-0.1670703
1,1,1,100.00,5.55,-0.2
1,1,1,180.00,5.62,-0.02
1,2,1,1400.00,5.62,-0.02
1,3,3,19036.0,5.61,-0.18
1,3,3,10878.0,5.61,-0.18
1,3,3,13597.0,5.61,-0.18
1,3,3,326.0,5.68,-0.13
1,1,1,544.0,5.58,-0.25
1,2,2,14685.0,5.58,-0.18

1,2,1,1800.00,5.61,-0.1
1,2,1,605.00,5.56,-0.19,
1,3,2,6,498.00,5.63,-0.13
1,2,1,11300.00,5.56,-0.19,
1,2,1,2000.00,5.61,-0.1
1,2,1,1300.00,5.548145,-0.2644055
1,2,1,1500.00,5.61,-0.1
1,2,1,16103.00,5.5665369,-0.1821596
1,2,1,1430.00,5.58,-0.18
1,2,1,12430.00,5.6364025,-0.1670703
1,2,1,2470.00,5.6364025,-0.1670703
1,2,1,1200.00,5.64,-0.1
1,2,1,1000.00,5.57,-0.24
1,3,2,1500.00,5.548145,-0.2644055
1,3,2,600.00,5.55,-0.2
1,7,3,31000.00,5.6,-0.08
1,3,2,12500.00,5.6364025,-0.1670703
1,3,1,8800.00,5.61,-0.18
1,2,1,1100.00,5.55,-0.2
1,2,1,2500.00,5.61,-0.18
1,1,1,180.00,5.55,-0.2
1,2,1,600.00,5.55,-0.2
1,2,1,600.00,5.55,-0.2
1,3,2,2500.00,5.61,-0.18
1,1,1,1500.00,5.57,-0.21
1,4,2,6600.00,5.6,-0.2
1,1,1,600.00,5.6,-0.2
1,2,1,500.00,5.53,-0.33
1,1,1,200.00,5.62,-0.23
1,1,1,150.00
