Abeka,Greater Accra,Ghana,5.6,-0.24,
Abeka-Lapaz,Greater Accra,Ghana,5.597145,-0.2504436,
Abelemkpe,Greater Accra,Ghana,5.608275,-0.2252237,
Ablefu,Greater Accra,Ghana,5.8,-0.43,
Ablekuma,Greater Accra,Ghana,5.5548019,-0.2879468,
Ablemkpe,Greater Accra,Ghana,5.61,-0.22,
Aboansa,Greater Accra,Ghana,5.55,-0.55,
Aboansa Number 2,Greater Accra,Ghana,5.57,-0.57,
Abochiman,Greater Accra,Ghana,5.72,-0.35,
Abofu,Greater Accra,Ghana,5.62,-0.22,
Abokobi,Greater Accra,Ghana,5.73,-0.21,
Aboman,Greater Accra,Ghana,5.72,-0.2,
Abossey Okai,Greater Accra,Ghana,5.56,-0.24,
Accra,Greater Accra,Ghana,5.55,-0.2,
Accra Central,Greater Accra,Ghana,5.54,-0.21,
Accra New Town,Greater Accra,Ghana,5.58,-0.21,
Achiaman,Greater Accra,Ghana,5.7,-0.33,
Achimota,Greater Accra,Ghana,5.62,-0.23,
Achimota Forest,Greater Accra,Ghana,5.62,-0.22,
Achimota Village,Greater Accra,Ghana,5.62,-0.23,
Adabraka,Greater Accra,Ghana,5.56,-0.21,
Adaiso,Greater Accra,Ghana,5.8,-0.49,
Oddogonno,Greater Accra,Ghana,5.62,-0.07,
Adenta,Greater Accra,Ghana,5.7195028,-0.1951566,
Adiembra,Greater Accra,Ghana,5.68,-0.43,
Adjen Kotoku,Greater Accra,Ghana,5.7376943,-0.3740075,
Afiaman,Greater Accra,Ghana,5.7,-0.28,
Afianya,Greater Accra,Ghana,5.78,-0.08,
Afuaman,Greater Accra,Ghana,5.64,-0.36,
Agblesia,Greater Accra,Ghana,5.62,-0.05,
Agbogba,Greater Accra,Ghana,5.69,-0.2,
Agbogbloshie,Greater Accra,Ghana,5.55,-0.22,
Agboogba,Greater Accra,Ghana,5.69,-0.2,
Ahinkro,Greater Accra,Ghana,5.55,-0.53,
Ahireso,Greater Accra,Ghana,5.62,-0.52,
Ahunju,Greater Accra,Ghana,5.8,-0.32,
Aidan,Greater Accra,Ghana,5.75,-0.42,
Aikaidoboro,Greater Accra,Ghana,5.68,-0.35,
Airport City Accra,Greater Accra,Ghana,5.6007488,-0.1964667,
Airport,Greater Accra,Ghana,5.62,-0.14,
Airport Residential,Greater Accra,Ghana,5.61,-0.18,
Aiyim,Greater Accra,Ghana,5.78,-0.21,
Aiyimensa,Greater Accra,Ghana,5.78,-0.18,
Ajerkotuku,Greater Accra,Ghana,5.74,-0.36,
Ajimenti,Greater Accra,Ghana,5.8,-0.2,
Ajiringano,Greater Accra,Ghana,5.63,-0.13,
Akokome,Greater Accra,Ghana,5.72,-0.2,
Akomato,Greater Accra,Ghana,5.72,-0.58,
Akotoshi,Greater Accra,Ghana,5.75,-0.33,
Akotuaku,Greater Accra,Ghana,5.7,-0.48,
Akpoman,Greater Accra,Ghana,5.72,-0.21,
Akrabong Joma,Greater Accra,Ghana,5.62,-0.57,
Akramaman,Greater Accra,Ghana,5.7,-0.36,
Akraman,Greater Accra,Ghana,5.52,-0.54,
Akropong,Greater Accra,Ghana,5.65,-0.58,
Akubrefa,Greater Accra,Ghana,5.6,-0.53,
Akutase Medie,Greater Accra,Ghana,5.76,-0.32,
Akwaman,Greater Accra,Ghana,5.77,-0.53,
Akwechi,Greater Accra,Ghana,5.55,-0.58,
Akweiman,Greater Accra,Ghana,5.75,-0.49,
Akweteman,Greater Accra,Ghana,5.5,-0.33,
Akweteyman,Greater Accra,Ghana,5.61,-0.25,
Akwetsi,Greater Accra,Ghana,5.5,-0.53,
Alajo,Greater Accra,Ghana,5.6,-0.22,
Algoboshie,Greater Accra,Ghana,5.63,-0.25,
Amamorley,Greater Accra,Ghana,5.66,-0.3,
Amanfro,Greater Accra,Ghana,5.68,-0.3,
Amanfro,Greater Accra,Ghana,5.56,-0.38,
Amasaman,Greater Accra,Ghana,5.7,-0.3,
Amedua,Greater Accra,Ghana,5.59,-0.55,
Amontidom,Greater Accra,Ghana,5.68,-0.58,
Amrahia,Greater Accra,Ghana,5.77,-0.14,
Amuanda,Greater Accra,Ghana,5.52,-0.58,
Anafro,Greater Accra,Ghana,5.57,-0.45,
Ankwadoboro,Greater Accra,Ghana,5.78,-0.33,
Anoti,Greater Accra,Ghana,5.62,-0.43,
Anumle,Greater Accra,Ghana,5.64,-0.22,
Anyino,Greater Accra,Ghana,5.6,-0.43,
Apapa,Greater Accra,Ghana,5.56,-0.17,
Apenkwa,Greater Accra,Ghana,5.72,-0.15,
